path,bytes,sha256,source,source_url,source_version,license,license_url,transformation
robustness/data/pae/P22204_metadata.json,2847,ef7d9144e222b34133232a851eaab50f0c5c1b954b3d362935f7733f2fb7c1ec,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P22204,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P22204_v6_pae.json.gz,136466,1ecd7c5bfbaecf20b2bdd6b8ce28663fb499591e0396747549f74838e0d2a066,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P22204-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P23561_metadata.json,3146,5a4d55c498996abf15aab628da701cd8ff86c79a501d9bb9521dcfe0b87a4b44,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P23561,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P23561_v6_pae.json.gz,192133,15cf4299a0ffd53e4c1958a247b92c0e3f8674cd032a544208016954b167fe7f,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P23561-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P25037_metadata.json,3330,358429a2306538ed997083961d3e532fd3bb68601da9db1aac57f4d74de3632a,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P25037,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P25037_v6_pae.json.gz,233230,68a1d3f5485a9e8956ea9364bfd5fa813da5903f4feb7cbc2a2e7b116c1fc699,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P25037-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P25333_metadata.json,2920,89e6d8231068ea1e25cc23138929a354aa34880b959ab00b536edee0219f110e,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P25333,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P25333_v6_pae.json.gz,123744,2eb72a575f3005f75af31e42900e122e89215791d9e3acfed71b134950822c83,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P25333-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P32324_metadata.json,3375,83f344e3a2ec7a35262fac4c209f8c763f49e89dbcf3829fc3e6ddcc241e241f,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P32324,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P32324_v6_pae.json.gz,247959,9958002b3fac4b9c02dc0d15f018a96d75b79e6f2bf9ab69254588d327618214,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P32324-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
